Sample,adultfetal,Group,Type,Capture,replicate,rat,ratRNA,batch
LADULT_1,Adult,A-19,Liver,LCM,1,,,3
LADULT_2,Adult,A-19,Liver,LCM,2,,,3
LADULT_3,Adult,A-19,Liver,LCM,3,,,3
LFETAL_1,Fetal,F-19,Liver,LCM,1,,,3
LFETAL_2,Fetal,F-19,Liver,LCM,2,,,3
LFETAL_3,Fetal,F-19,Liver,LCM,3,,,3
ADULT_1,Adult,A-20,HostCol,LCM,1,243,X243.Adult,2
ADULT_2,Adult,A-20,HostCol,LCM,2,246,,2
ADULT_3,Adult,A-20,HostCol,LCM,3,248,X248.Adult,2
ADULT_4,Adult,A-20,HostCol,LCM,4,249,X249.Adult,2
ADULT_5,Adult,A-20,HostCol,LCM,5,242,X242.Adult,2
FETAL_1,Fetal,F-20,HostCol,LCM,1,243,X243.Fetal,2
FETAL_2,Fetal,F-20,HostCol,LCM,2,246,,2
FETAL_3,Fetal,F-20,HostCol,LCM,3,248,X248.Fetal,2
FETAL_4,Fetal,F-20,HostCol,LCM,4,249,X249.Fetal,2
FETAL_5,Fetal,F-20,HostCol,LCM,5,242,X242.Fetal,2
LAPpOC2m1,Fetal,FEHS,Cells,Sort,1,,,1
LAPpOC2m2,Fetal,FEHS,Cells,Sort,2,,,1
LAPpOC2m3,Fetal,FEHS,Cells,Sort,3,,,1
LAPpOC2p1,Fetal,FEHD,Cells,Sort,1,,,1
LAPpOC2p2,Fetal,FEHD,Cells,Sort,2,,,1
LAPpOC2p3,Fetal,FEHD,Cells,Sort,3,,,1
ADH1,Adult,ADH,Cells,Sort,1,,,1
ADH2,Adult,ADH,Cells,Sort,2,,,1
ADH3,Adult,ADH,Cells,Sort,3,,,1
LAPp1,Fetal,FEHL,Cells,Sort,1,,,1
LAPp2,Fetal,FEHL,Cells,Sort,2,,,1
LAPp3,Fetal,FEHL,Cells,Sort,3,,,1
