sample,adultfetal,group,lappos,oc2pos,replicate,batch
A1,Adult,Adult,FALSE,FALSE,1,1
A2,Adult,Adult,FALSE,FALSE,2,1
A3,Adult,Adult,FALSE,FALSE,3,1
A4,Adult,Adult,FALSE,FALSE,4,1
D1,Fetal,Dual,TRUE,TRUE,1,1
D2,Fetal,Dual,TRUE,TRUE,2,1
D3,Fetal,Dual,TRUE,TRUE,3,1
D4,Fetal,Dual,TRUE,TRUE,4,1
L1,Fetal,LAP,TRUE,FALSE,1,1
L2,Fetal,LAP,TRUE,FALSE,2,1
L3,Fetal,LAP,TRUE,FALSE,3,1
L4,Fetal,LAP,TRUE,FALSE,4,1
S1,Fetal,Single,TRUE,FALSE,1,1
S3,Fetal,Single,TRUE,FALSE,2,1
S4,Fetal,Single,TRUE,FALSE,3,1
S5,Fetal,Single,TRUE,FALSE,4,1
X242.Adult,Adult,Host,TRUE,FALSE,242,2
X242.Fetal,Fetal,Colony,TRUE,FALSE,242,2
X243.Adult,Adult,Host,TRUE,FALSE,243,2
X243.Fetal,Fetal,Colony,TRUE,FALSE,243,2
X248.Adult,Adult,Host,TRUE,FALSE,248,2
X248.Fetal,Fetal,Colony,TRUE,FALSE,248,2
X249.Adult,Adult,Host,TRUE,FALSE,249,2
X249.Fetal,Fetal,Colony,TRUE,FALSE,249,2
